                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                        SICKO MODE                                      Travis Scott
                                        SICKO MODE                                      Travis Scott
                                      SIDE TO SIDE                                     Ariana Grande
                                             SIGNS                                        Snoop Dogg
                                           SILENCE                                        Marshmello
                                       SILHOUETTES                                            Avicii
                                        SIN PIJAMA                                           Becky G
                                 SINCE U BEEN GONE                                    Kelly Clarkson
                                              SING                                            Travis
                                              SING                                        Ed Sheeran
                               SING FOR THE MOMENT                                            Eminem
                                     SINGLE LADIES                                           Beyonce
                           SIT STILL - LOOK PRETTY                                              Daya
                                         SK8ER BOI                                     Avril Lavigne
                                              SKIN                                    Rag'n'bone Man
                                           SKYFALL                                             Adele
                                          SLIPPERY                                             Migos
                                         SLOW DOWN                                          Bobby V.
                                         SLOW JAMZ                                            Twista
                                       SLOW MOTION                                          Juvenile
                                        SMACK THAT                                              Akon
                                             SMILE                                        Lily Allen
                                   SMOOTH CRIMINAL                                    Alien Ant Farm
                                   SNAP YO FINGERS                                           Lil Jon
                                              SNOW                             Red Hot Chili Peppers
                                           SO AM I                                           Ava Max
                                           SO GONE                                            Monica
                                           SO SICK                                                Ne
                                           SO WHAT                                              P!nk
                                             SOBER                                              P!nk
                                           SOLDIER                                   Destiny's Child
                                              SOLO                                      Clean Bandit
                                        SOLO DANCE                                     Martin Jensen
                                           SOLTERA                                             Lunay
                                          SOME CUT                                        Trillville
                                          SOMEBODY                                   Natalie La Rose
                      SOMEBODY THAT I USED TO KNOW                                             Gotye
                                           SOMEDAY                                        Nickelback
                                  SOMEONE LIKE YOU                                             Adele
                                 SOMEONE YOU LOVED                                     Lewis Capaldi
                                  SOMETHIN' STUPID                                   Robbie Williams
                                         SOMETHING                                             Lasgo
                          SOMETHING JUST LIKE THIS                                  The Chainsmokers
                             SOMETHING KINDA OOOOH                                       Girls Aloud
           SOMETIMES YOU CAN'T MAKE IT ON YOUR OWN                                                U2
                                        SONNENTANZ                                    Klangkarussell
                                             SORRY                                           Madonna
                                             SORRY                                     Justin Bieber
                                             SORRY                                     Justin Bieber
                                             SORRY                                           Beyonce
                                             SORRY                                        Joel Corry
                SORRY SEEMS TO BE THE HARDEST WORD                                              Blue
                                               SOS                                           Rihanna
                                               SOS                                            Avicii
                                     SOUL SURVIVOR                                             Jeezy
                          SOUND OF THE UNDERGROUND                                       Girls Aloud
                              SOUTHERN HOSPITALITY                                          Ludacris
                                         SOUTHSIDE                                             Lloyd
                                          SPECTRUM                            Florence + The Machine
                                    SPEED OF SOUND                                          Coldplay
                                   SPINNING AROUND                                     Kylie Minogue
                                   SPINNING AROUND                                     Kylie Minogue
                                           SPIRITS                                   The Strumbellas
                                 SPLASH WATERFALLS                                          Ludacris
                                         SPOTLIGHT                                   Jennifer Hudson
                                         SPOTLIGHT                                        Marshmello
                                              STAN                                            Eminem
                                          STAND UP                                          Ludacris
                                           STARBOY                                        The Weeknd
                                         STARLIGHT                               The Supermen Lovers
                                       STARRY EYED                                    Ellie Goulding
                                         STARSHIPS                                       Nicki Minaj
                                        STARSTRUKK                                             3oh!3
                           STARTED FROM THE BOTTOM                                             Drake
                               STARZ IN THEIR EYES                                         Just Jack
                                              STAY                                           Rihanna
                                    STAY THE NIGHT                                              Zedd
                                      STAY WITH ME                                         Sam Smith
                              STEADY - AS SHE GOES                                    The Raconteurs
                                     STEAL MY GIRL                                     One Direction
                                     STEREO HEARTS                                  Gym Class Heroes
                                       STEREO LOVE                                       Edward Maya
                                       STEREO LOVE                                       Edward Maya
                                         STICKWITU                                The Pussycat Dolls
                                         STICKWITU                                The Pussycat Dolls
                                         STILL FLY                                        Big Tymers
                                    STILL INTO YOU                                          Paramore
                                          STIR FRY                                             Migos
                                          STITCHES                                      Shawn Mendes
                                             STOLE                                     Kelly Rowland
                                    STOLE THE SHOW                                              Kygo
                                    STOLE THE SHOW                                              Kygo
                                      STOLEN DANCE                                      Milky Chance
                                    STOP AND STARE                                       Onerepublic
                                           STOP ME                                       Mark Ronson
                                  STORY OF MY LIFE                                     One Direction
                              STRANGER IN MY HOUSE                                             Tamia
                                      STRESSED OUT                                 Twenty One Pilots
                                     STRIKE A POSE                                  Young T & Bugsey
                                   STRIP THAT DOWN                                        Liam Payne
                                          STRONGER                                        Kanye West
                                          STRONGER                                    Kelly Clarkson
                                      STUPID GIRLS                                              P!nk
                                           STUTTER                                               Joe
                                             STYLE                                      Taylor Swift
                                             STYLE                                      Taylor Swift
                                   SUBEME LA RADIO                                  Enrique Iglesias
                                            SUCKER                                    Jonas Brothers
                                   SUCKER FOR PAIN                                         Lil Wayne
                                    SUDDENLY I SEE                                       Kt Tunstall
                                         SUFFOCATE                                        J. Holiday
                                         SUGA SUGA                                         Baby Bash
                                         SUGA SUGA                                         Baby Bash
                                             SUGAR                                          Maroon 5
                                             SUGAR                                      Robin Schulz
                                              SUGE                                            Dababy
                                        SUIT & TIE                                 Justin Timberlake
                                            SUMMER                                     Calvin Harris
                                       SUMMER LOVE                                 Justin Timberlake
                                SUMMERTIME SADNESS                                      Lana Del Rey
                                         SUNFLOWER                                       Post Malone
                                           SUNRISE                                        Simply Red
                                      SUNSET LOVER                                     Petit Biscuit
                                          SUNSHINE                                         Lil' Flip
                                          SUNSHINE                                            Twista
                                        SUPER BASS                                       Nicki Minaj
                                       SUPERHEROES                                        The Script
                           SUPERMASSIVE BLACK HOLE                                              Muse
                                         SUPERSTAR                                           Jamelia
                                         SUPERSTAR                                       Lupe Fiasco
                           SURE BE COOL IF YOU DID                                     Blake Shelton
                                        SURE THING                                            Miguel
                                          SURVIVOR                                   Destiny's Child
                                            SWALLA                                      Jason Derulo
                                             SWANG                                      Rae Sremmurd
                                             SWEAT                                        Snoop Dogg
                                   SWEATER WEATHER                                 The Neighbourhood
                                    SWEET ABOUT ME                                   Gabriella Cilmi
                                  SWEET BUT PSYCHO                                           Ava Max
                                      SWEET DREAMS                                           Beyonce
                             SWEET DREAMS MY LA EX                                    Rachel Stevens
                                      SWEET LOVIN'                                            Sigala
                                     SWEET NOTHING                                     Calvin Harris
                                     SWEETEST GIRL                                       Wyclef Jean
                                           SWERVIN                            A Boogie Wit Da Hoodie
                                    SWIMMING POOLS                                    Kendrick Lamar
                                            SWITCH                                        Will Smith
                                          SYMPHONY                                      Clean Bandit
                                                 T                                             Migos
                                      TAINTED LOVE                                    Marilyn Manson
                                        TAKE A BOW                                           Rihanna
                                TAKE A LOOK AROUND                                       Limp Bizkit
                                         TAKE CARE                                             Drake
                                       TAKE IT OFF                                             Kesha
                            TAKE ME BACK TO LONDON                                        Ed Sheeran
                                       TAKE ME OUT                                   Franz Ferdinand
                                 TAKE ME TO CHURCH                                            Hozier
                       TAKE ME TO THE CLOUDS ABOVE                                               Lmc
                                    TAKE YOU THERE                                     Sean Kingston
                                         TAKI TAKI                                          Dj Snake
                                         TAKI TAKI                                          Dj Snake
                                        TALK DIRTY                                      Jason Derulo
                                        TALK DIRTY                                      Jason Derulo
                                      TALKING BODY                                           Tove Lo
                                      TALKING BODY                                           Tove Lo
                               TALKING TO THE MOON                                        Bruno Mars
                                             TASTE                                              Tyga
                                            TATTOO                                     Jordin Sparks
                                            TE AMO                                           Rihanna
                                           TE BOTE                                        Nio Garcia
                            TEACH ME HOW TO DOUGIE                                Cali Swag District
                                              TEAM                                             Lorde
                                              TEAM                                             Lorde
                                             TEARS                                      Clean Bandit
                                   TEENAGE DIRTBAG                                           Wheatus
                                     TEENAGE DREAM                                        Katy Perry
                                         TEENAGERS                               My Chemical Romance
                                         TELEPHONE                                         Lady Gaga
                                       TEMPERATURE                                         Sean Paul
                             THANK GOD I FOUND YOU                                      Mariah Carey
                                         THANK YOU                                              Dido
                                    THAT'S MY GOAL                                       Shayne Ward
                                THAT'S NOT MY NAME                                    The Ting Tings
                              THAT'S THE WAY IT IS                                       Celine Dion
               THE ADVENTURES OF RAIN DANCE MAGGIE                             Red Hot Chili Peppers
                              THE BOY DOES NOTHING                                      Alesha Dixon
                        THE CLOSEST THING TO CRAZY                                       Katie Melua
                                        THE CREEPS                                     Camille Jones
                                 THE EDGE OF GLORY                                         Lady Gaga
                                          THE FEAR                                        Lily Allen
                                         THE FLOOD                                         Take That
                                           THE FOX                                             Ylvis
                                  THE GIRL IS MINE                                          99 Souls
                                        THE GIT UP                                      Blanco Brown
                                  THE GREAT ESCAPE                                   Boys Like Girls
                                      THE GREATEST                                               Sia
                                 THE GREATEST SHOW                                      Hugh Jackman
                     THE HEART WANTS WHAT IT WANTS                                      Selena Gomez
                     THE HEART WANTS WHAT IT WANTS                                      Selena Gomez
                                         THE HILLS                                        The Weeknd
                                      THE JUMP OFF                                          Lil' Kim
                                  THE KETCHUP SONG                                       Las Ketchup
                                          THE KILL                            Thirty Seconds To Mars
                                     THE LAZY SONG                                        Bruno Mars
                        THE LESS I KNOW THE BETTER                                       Tame Impala
                                  THE LOGICAL SONG                                           Scooter
                                        THE LONDON                                        Young Thug
                                        THE MIDDLE                                   Jimmy Eat World
                                        THE MIDDLE                                              Zedd
                                       THE MONSTER                                            Eminem
                                         THE MOTTO                                             Drake
                                  THE NEXT EPISODE                                           Dr. Dre
                                        THE NIGHTS                                            Avicii
                                         THE OCEAN                                        Mike Perry
                             THE ONE THAT GOT AWAY                                        Katy Perry
                                    THE OTHER SIDE                                      Jason Derulo
                                     THE PRETENDER                                      Foo Fighters
                               THE REAL SLIM SHADY                                            Eminem
                                        THE REASON                                        Hoobastank
                                        THE RIDDLE                                   Gigi D'agostino
                                          THE ROSE                                          Westlife
                                          THE SEED                                         The Roots
                                  THE SHOW GOES ON                                       Lupe Fiasco
                                  THE SWEET ESCAPE                                      Gwen Stefani
                                  THE TIDE IS HIGH                                     Atomic Kitten
                                          THE TIME                                   Black Eyed Peas
                                   THE TIME IS NOW                                            Moloko
                                           THE WAY                                     Ariana Grande
                                      THE WAY I AM                                      Charlie Puth
                                     THE WAY I ARE                                         Timbaland
                                    THE WAY I LIVE                                Baby Boy Da Prince
                                  THE WAY YOU MOVE                                           Outkast
                                  THE WAY YOU MOVE                                           Outkast
                                   THE WHOLE WORLD                                           Outkast
                                      THERE YOU GO                                              P!nk
                                   THERE YOU'LL BE                                        Faith Hill
                   THERE'S NOTHING HOLDIN' ME BACK                                      Shawn Mendes
                                THINKING ABOUT YOU                                     Calvin Harris
                                 THINKING OUT LOUD                                        Ed Sheeran
                            THIS AIN'T A LOVE SONG                                Scouting For Girls
            THIS AIN'T A SCENE - IT'S AN ARMS RACE                                      Fall Out Boy
                                      THIS FEELING                                  The Chainsmokers
                                         THIS GIRL                                             Kungs
                                 THIS IS HOW WE DO                                        Katy Perry
                                      THIS IS LOVE                                         Will.i.am
                        THIS IS WHAT IT FEELS LIKE                                  Armin Van Buuren
                         THIS IS WHAT YOU CAME FOR                                     Calvin Harris
                               THIS IS WHY I'M HOT                                              Mims
                                         THIS LOVE                                          Maroon 5
                                THIS ONE'S FOR YOU                                      David Guetta
                                  THNKS FR TH MMRS                                      Fall Out Boy
                                        THONG SONG                                             Sisqo
                                          THOTIANA                                          Blueface
                                       THRIFT SHOP                           Macklemore & Ryan Lewis
                                  THROUGH THE WIRE                                        Kanye West
                               THROW IT IN THE BAG                                          Fabolous
                                    THROW SOME D'S                                          Rich Boy
                                           THUNDER                                   Imagine Dragons
                         THUNDER IN MY HEART AGAIN                                              Meck
                                     TIIMMY TURNER                                         Desiigner
                                           TIK TOK                                             Kesha
                                   TILL I COLLAPSE                                            Eminem
                               TILL THE WORLD ENDS                                    Britney Spears
                                            TIMBER                                           Pitbull
                                 TIME OF OUR LIVES                                           Pitbull
                                           TIP TOE                                      Jason Derulo
                                             TIPSY                                                 J
                                          TITANIUM                                      David Guetta
                                       TONGUE TIED                                         Grouplove
                                           TONIGHT                                  Enrique Iglesias
                                   TONIGHT TONIGHT                                    Hot Chelle Rae
                                         TOO CLOSE                                        Alex Clare
                                          TOO GOOD                                             Drake
                              TOO GOOD AT GOODBYES                                         Sam Smith
                               TOO LITTLE TOO LATE                                              Jojo
                                   TOO LOST IN YOU                                         Sugababes
                                   TOO LOST IN YOU                                         Sugababes
                                          TOUCH IT                                      Busta Rhymes
                                          TOUCH ME                                      Rui Da Silva
                                     TOUCH MY BODY                                      Mariah Carey
                                     TOUCH THE SKY                                        Kanye West
                                             TOXIC                                    Britney Spears
                                        TRAP QUEEN                                         Fetty Wap
                                          TREASURE                                        Bruno Mars
                                  TREAT YOU BETTER                                      Shawn Mendes
                                          TRICK ME                                             Kelis
                                              TRIP                                          Ella Mai
                                          TRIPPING                                   Robbie Williams
                                      TROUBLEMAKER                                         Olly Murs
                                              TRUE                                      Ryan Cabrera
                                         TRUE LOVE                                              P!nk
                                          TRUMPETS                                      Jason Derulo
                                               TRY                                              P!nk
                                               TRY                                              P!nk
                                         TRY AGAIN                                           Aaliyah
                                           TUESDAY                                       Burak Yeter
                                     TUNNEL VISION                                       Kodak Black
                                TURN DOWN FOR WHAT                                          Dj Snake
                                        TURN ME ON                                      Kevin Lyttle
                                        TURN ME ON                                      David Guetta
                                   TURN MY SWAG ON                                        Soulja Boy
                                TURN OFF THE LIGHT                                     Nelly Furtado
                                 TURN UP THE MUSIC                                       Chris Brown
                                      TURNIN ME ON                                       Keri Hilson
                                       U + UR HAND                                              P!nk
                                         U AND DAT                                                 E
                              U DON'T HAVE TO CALL                                             Usher
                                  U KNOW WHAT'S UP                                      Donell Jones
                                   U MAKE ME WANNA                                              Blue
                                        UGLY HEART                                            G.r.l.
                                            UH HUH                                               B2k
                                          UMBRELLA                                           Rihanna
                                  UNCHAINED MELODY                                      Gareth Gates
                                   UNCONDITIONALLY                                        Katy Perry
                                     UNDER CONTROL                                     Calvin Harris
                                 UNDERNEATH IT ALL                                          No Doubt
                           UNDERNEATH YOUR CLOTHES                                           Shakira
                                        UNFAITHFUL                                           Rihanna
                                     UNFORGETTABLE                                    French Montana
                             UNTIL THE END OF TIME                                              2pac
                                         UNTOUCHED                                     The Veronicas
                                            UNWELL                                   Matchbox Twenty
                                         UNWRITTEN                               Natasha Bedingfield
                                                UP                                         Olly Murs
                                          UPRISING                                              Muse
                                       UPTOWN FUNK                                       Mark Ronson
                                        VAINA LOCA                                             Ozuna
                                           VALERIE                                       Mark Ronson
                                           VERTIGO                                                U2
                                       VIOLET HILL                                          Coldplay
                                      VIVA LA VIDA                                          Coldplay
                                         VOSSI BOP                                           Stormzy
                                              WAIT                                   Ying Yang Twins
                                    WAIT A MINUTE!                                            Willow
                                      WAIT FOR YOU                                     Elliott Yamin
                                 WAITING ALL NIGHT                                        Rudimental
                                  WAITING FOR LOVE                                            Avicii
                                        WAKE ME UP                                            Avicii
                                WAKING UP IN VEGAS                                        Katy Perry
                                       WALK IT OUT                                               Unk
                                   WALK IT TALK IT                                             Migos
                                WALKING ON A DREAM                                 Empire Of The Sun
                                           WANKSTA                                           50 Cent
                             WANNA GET TO KNOW YOU                                                 G
                                       WANT U BACK                                        Cher Lloyd
                                            WASTED                                            Tiesto
                                   WASTING MY TIME                                           Default
                                          WATCH ME                                           Silento
                                             WAVES                                         Mr. Probz
                                       WAVIN' FLAG                                            K'naan
                                    WAY DOWN WE GO                                             Kaleo
                                      WE ARE YOUNG                                              Fun.
                                     WE BE BURNIN'                                         Sean Paul
                                WE BELONG TOGETHER                                      Mariah Carey
                                     WE CAN'T STOP                                       Miley Cyrus
                                         WE COME 1                                         Faithless
                             WE DON'T TALK ANYMORE                                      Charlie Puth
                        WE FELL IN LOVE IN OCTOBER                                       Girl In Red
                                       WE FLY HIGH                                         Jim Jones
                                     WE FOUND LOVE                                           Rihanna
                                     WE FOUND LOVE                                           Rihanna
                                       WE MADE YOU                                            Eminem
                             WE NO SPEAK AMERICANO                                   Yolanda Be Cool
                                         WE OWN IT                                          2 Chainz
                                     WE R WHO WE R                                             Kesha
                              WE'LL BE COMING BACK                                     Calvin Harris
                                              WEAK                                               Ajr
                                  WEARING MY ROLEX                                             Wiley
                       WELCOME TO THE BLACK PARADE                               My Chemical Romance
                                     WHAT ABOUT US                                     The Saturdays
                                    WHAT ABOUT US?                                            Brandy
                                 WHAT DO YOU MEAN?                                     Justin Bieber
               WHAT GOES AROUND.../...COMES AROUND                                 Justin Timberlake
                               WHAT HURTS THE MOST                                     Rascal Flatts
                                    WHAT I'VE DONE                                       Linkin Park
                          WHAT MAKES YOU BEAUTIFUL                                     One Direction
                                     WHAT THE HELL                                     Avril Lavigne
                            WHAT TOOK YOU SO LONG?                                       Emma Bunton
                                      WHAT YOU GOT                                     Colby O'donis
                                     WHAT YOU KNOW                                              T.i.
                                     WHAT YOU KNOW                              Two Door Cinema Club
                             WHAT YOU WAITING FOR?                                      Gwen Stefani
                                     WHAT'CHU LIKE                                           Da Brat
                                WHAT'S IT GONNA BE                                           H Two O
                                 WHAT'S LEFT OF ME                                       Nick Lachey
                                       WHAT'S LUV?                                           Fat Joe
                                   WHAT'S MY NAME?                                           Rihanna
                                   WHAT'S MY NAME?                                           Rihanna
                              WHATAYA WANT FROM ME                                      Adam Lambert
                                       WHATCHA SAY                                      Jason Derulo
                                       WHATCHA SAY                                      Jason Derulo
                                 WHATEVER IT TAKES                                   Imagine Dragons
                                 WHATEVER YOU LIKE                                              T.i.
                                 WHATEVER YOU LIKE                                              T.i.
                                    WHEN I GROW UP                                The Pussycat Dolls
                               WHEN I WAS YOUR MAN                                        Bruno Mars
                                     WHEN I'M GONE                                      3 Doors Down
                                     WHEN I'M GONE                                            Eminem
                              WHEN LOVE TAKES OVER                                      David Guetta
                            WHEN THE SUN GOES DOWN                                    Arctic Monkeys
                                   WHEN WE COLLIDE                                       Matt Cardle
                            WHEN WE STAND TOGETHER                                        Nickelback
                               WHEN YOU LOOK AT ME                                  Christina Milian
                                  WHEN YOU'RE GONE                                     Avril Lavigne
                               WHENEVER - WHEREVER                                           Shakira
                                   WHERE ARE U NOW                                            Jack U
                               WHERE HAVE YOU BEEN                                           Rihanna
                                  WHERE I WANNA BE                                      Donell Jones
                                WHERE IS THE LOVE?                                   Black Eyed Peas
                                WHERE THE PARTY AT                                       Jagged Edge
                               WHERE THEM GIRLS AT                                      David Guetta
                                    WHERE'D YOU GO                                        Fort Minor
                                     WHEREVER I GO                                       Onerepublic
                              WHEREVER YOU WILL GO                                       The Calling
                              WHEREVER YOU WILL GO                                   Charlene Soraia
                                           WHISTLE                                          Flo Rida
                                        WHITE FLAG                                              Dido
                                        WHITE FLAG                                              Dido
                                       WHITE NOISE                                        Disclosure
                                          WHO KNEW                                              P!nk
                              WHO LET THE DOGS OUT                                          Baha Men
                                          WHO SAYS                          Selena Gomez & The Scene
                                 WHO'S THAT CHICK?                                      David Guetta
                                       WHOLE AGAIN                                     Atomic Kitten
          WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH?                                    Arctic Monkeys
                                        WIDE AWAKE                                        Katy Perry
                                             WIFEY                                              Next
                                            WIGGLE                                      Jason Derulo
                                         WILD ONES                                          Flo Rida
                                     WILD THOUGHTS                                         Dj Khaled
                                    WILDEST DREAMS                                      Taylor Swift
                                             WINGS                                        Little Mix
                                             WINGS                                             Birdy
                                     WISH YOU WELL                                            Sigala
                                WISH YOU WERE MINE                                     Philip George
                               WITH ARMS WIDE OPEN                                             Creed
                              WITH EVERY HEARTBEAT                                             Robyn
                                          WITH YOU                                   Jessica Simpson
                                          WITH YOU                                       Chris Brown
                                        WITHOUT ME                                            Eminem
                                        WITHOUT ME                                            Halsey
                                       WITHOUT YOU                                      David Guetta
                                       WITHOUT YOU                                            Avicii
                                            WOLVES                                      Selena Gomez
                                         WOMANIZER                                    Britney Spears
                                   WONDERFUL WORLD                                    James Morrison
